artista,musica,observacao,tag
Avenged Sevenfold,Carry On,,Metal
Avenged Sevenfold,Scream,,Metal
Avenged Sevenfold,Unholy Confessions,,Metal
Avenged Sevenfold,Almost Easy,,Metal
Avenged Sevenfold,Nightmare,,Metal
Avenged Sevenfold,Hail To The King,,Metal
Avenged Sevenfold,Afterlife,,Metal
Avenged Sevenfold,Beast and the Harlot,,Metal
Avenged Sevenfold,Welcome to the Family,,Metal
Avenged Sevenfold,So Far Away,,Metal
AVICII,Wake me Up,,Pop
AVICII,Levels,,pop
Avril Lavigne,Complicated,,rock
Avril Lavigne,Girlfriend,,rock
Avril Lavigne,Sk8er Boi,,rock
Avril Lavigne,Smile,,rock
Avril Lavigne,When You're gone,,rock
Awolnation,Run,,rock
AX,Sakimori Renka,,Pop
Axel Rudi Pell,Cold Heaven,,
Aya Hirano,First GoodBye,Suzumiya Haruhi ENOZ,anime
Aya Hirano,Super Drive,Suzumiya Haruhi ENOZ sem bateria,anime
Aya Hirano,Hare Hare Yukai,Suzumiya Haruhi sem bateria,anime
Ayaka,Why,Crisis Core Final Fantasy,soundtrack anime
Ayane,Arrival of Tears,11eyes,anime
Ayane,Fukisokusei Entropy,Higurashi sem bateria,anime
Ayane Kotori,Oato ga Yoroshikutte yo,Joshiraku sem bateria,anime
Ayase,Hiten,Samurai X Rurouni Kenshin sem bateria,anime
Azalea,GALAXY HidE and SeeK,love live,anime
Azalea,Innocent Bird,love live,anime
Azalea,Lonely Tuning,love live,anime
Azalea,Tokimeki Bunruigaku,love live,anime
Azalea,Torikoriko PLEASE!!,love live,anime
Azalea,GALAXY HidE and SeeK - live,love live,anime
Azalea,Innocent Bird - live,love live,anime
Azalea,Lonely Tuning - live,love live,anime
Azalea,Tokimeki Bunruigaku - live,love live,anime
Azalea,Torikoriko PLEASE!! - live,love live,anime
AZKI,i cant control myself,Vtuber Hololive,
AZKI,Inochi,Vtuber Hololive,
The B-52's,Rock Lobster,,
