artista,musica,observacao,tag
Goro Majima,24-hour Cinderella,Yakuza sem bateria,soundtrack
Gotye,Somebody That I Used to Know,indie rock pop
The Grateful Dead,Alabama Getaway,,rock 50s-80s
Great White,Once Bitten Twice Shy,,rock 50s-80s
Green Day,Brain Stew/Jaded,,Rock
Green Day,Geek Sting Breath,,Rock
Green Day,Minority,,Rock
Green Day,The Simpsons Theme,Simpsons,soundtrack
Green Day,Warning,,Rock
Green Day,Song of the Century,,Rock
Green Day,21st Centuri Breakdown,,Rock
Green Day,Before the Lobotomy,,Rock
Green Day,Last Night On Earth,,Rock
Green Day,Peacemaker,,Rock
Green Day,Murder City,,Rock
Green Day,Vila La Gloria,,Rock
Green Day,Restless Heart Syndrome,,Rock
Green Day,Horseshoes and Handgrenades,,Rock
Green Day,The Static Age,,rock
Green Day,American Eulogy,,rock
Green Day,See the Light,,rock
Green Day,American Idiot,,rock
Green Day,Holiday,,rock
Green Day,Boulevard of Broken Dreams,,rock
Green Day,Are We the Waiting / St. Jimmy,,rock
Green Day,Give Me Novacaine / She's a Rebel,,rock
Green Day,Extraordinary Girl,,rock
Green Day,Letterbomb,,rock
Green Day,Wake Me Up When September Ends,,rock
Green Day,Homecoming,,rock
Green Day,Whatsername,,rock
Green Day,Burnout,,rock
Green Day,Having a Blast,,rock
Green Day,Chump,,rock
Green Day,Longview,,rock
Green Day,Welcome to Paradise,,rock
Green Day,Pulling Teeth,,rock
Green Day,Basket Case,,rock
Green Day,She,,rock
Green Day,Sassafras Roots,,rock
Green Day,When I Come Around,,rock
Green Day,Emenius Sleepus,,rock
Green Day,In the End,,rock
Green Day,F.O.D.,,rock
Green Day,Coming Clean,,rock
Green Day,Nice Guys Finish Last,,rock
Green Day,Hitchin' a Ride,,rock
Green Day,Good Riddance (Time of Your Life),,rock
The Guess Who,American Woman,,
Guilty Kiss,Guilty Eyes Fever,Love Live,anime 
Guilty Kiss,Kowareyasuki,Love Live,anime 
Guilty Kiss,Shadow Gate To Love,Love Live,anime 
Guilty Kiss,Strawberry Trapper,Love Live,anime 
Guilty Kiss,Guilty night guilty kiss,Love Live,anime 
Guns N Roses,Sweet Child O Mine,,50s-80s Rock
Guns N Roses,Knockin' on Heaven's Door,,rock 50s-80s
Guns N Roses,Patience,,rock 50s-80s
Guns N Roses,Shackler's Revenge,,rock 50s-80s
Guns N Roses,Welcome to the Jungle,,rock 50s-80s
Guns N Roses,Paradise City,,rock 50s-80s
Guns N Roses,Sweet Child o' Mine,,rock 50s-80s
Guns N Roses,Live and Let Die,,rock 50s-80s
Guns N Roses,Don't Cry,,rock 50s-80s
Gwen Stefani,Hollaback Girl,,Pop
Hachi,Donut Hole,Gumi,Vocaloid
Hachi,Matryoshka,,Vocaloid
Hachi,Mrs. Pumpkin no kokkei na yume,,Vocaloid
Hachi,Musunde hiraite rasetsu to mukuro,,Vocaloid
Haddaway,What is Love,Baby don't hurt me... don't hurt me... no more,50s-80s pop
Halca,First Drop (Kanokari ED Ruka),Kanojo Okarishimasu,anime jpop
Halca,Kokuhaku Bungee Jump (Kanokari ED1),Kanojo Okarishimasu,anime jpop
Halford,Ressurection,,
Halozy,Eliminate Anthem,Touhou Project,soundtrack
Hanayo Koizumi,Snow Halation,Love Live,anime 
Hardline,Hot Cherie,,
Hardneja Sertacore,Dormi Na Praça (Rock),sem bateria,Brasil rock
Hardneja Sertacore,Boate Azul (Rock),sem bateria,Brasil rock
Harry Styles,Watermelon Sugar,,Pop Rock
Harry Styles,Music for a Sushi Restaurant,,Pop Rock
The Haunted,DOA,,
Hatsune Miku,Bye baby Sayorana,,Vocaloid
Hatsune Miku,Ievan Polka,,Vocaloid
Hatsune Miku,Love is War,,Vocaloid
Hawkwind,Master of the Universe,,
Heidi,Yokan,Kaichou wa Maid Sama sem bateria,anime indie rock
Hello Sleepwalkers,Goya no Machiawase,Noragami,Anime jrock jpop
Helloween,Future World,,
Heroes Del Silencio,Entre Dos Tierras,CUSTA O DOBRO DE FICHAS,Rock
HEY-SMITH,Say My Name,Tokyo Revengers,anime jrock
Hige Driver join. Selen,Dadadadadadadadadada,REFLEC BEAT,jpop soundtrack
High and Mighty Color,Hot Limit,,jpop jrock
Hikaru Utada,Passión,Kingdom Hearts II,soundtrack jpop
Hikaru Utada & Skrillex,Face My Fears,Kingdom Hearts II,soundtrack
Hikawa Kiyoshi,Genkai Toppa x Suruvivor,Dragon Ball Super sem bateria,anime
Hina Kino & Olivia & Kasumi,Inkya Impulse,Asobi Asobase,anime
HIM,Killing Loneliness,,Rock
Hiroaki Tommy Tominaga,Sono Chi no Sadame,Jojo's bizarre adventure,anime
Hirokazu Tanaka,Tetris Theme,Tetris,soundtrack
Hiroki Takahashi,Makafushigi adventure!,Dragon ball,anime
Hironobu Kageyama,Cha-La Head-Cha-La,Dragon Ball Z,anime
Hironobu Kageyama,Hikari no Will Power,Dragon Ball Z,anime
Hironobu Kageyama,Soldier Dream,Cavaleiros do Zodiaco,anime
Hironobu Kageyama,Sonic Drive,Sonic X sem bateria,anime
Hironobu Kageyama,We Gotta Power,Dragon Ball Z,anime
Hirose Kohmi,Promise,Meme,,
Hiroshi Kitadani,We Are!,One Piece,anime jrock
Hiroyuki Okita,Moete Hero,Captain Tsubasa,anime
Hiroyuki Sawano,Aliez,Aldnoah.Zero,anime
Hiroyuki Sawano,Inferno,PROMARE sem bateria,anime
Hiroyuki Sawano,Before My Body is Dry,Kill La Kill,anime
Hitomi,I am,Inuyasha sem letra sem bateria,anime
Hitomi Harada,Overdrive,Valkyrie Drive,anime
Hitori & Che:Sakurai,Magnet,,Vocaloid
The Hives,Hate to Say I Told You So,,Rock
The Hives,Main Offender,,Rock
The Hives,Tick Tick Boom,,Rock
Hizaki Grace Project,Race Wish,,jrock metal
Ho-kago tea time,Cagayake!girls,K-on,anime
Ho-kago tea time,Don't say lazy,K-on,anime
Ho-kago tea time,Fude pen ~ballpoint pen~,K-on,anime
Ho-kago tea time,Fuwa fuwa time,K-on,anime
Ho-kago tea time,Go!Go!Maniac,K-on,anime
Ho-kago tea time,Gohan wa Okazu,K-on,anime
Ho-kago tea time,Ho-kago tea time,K-on,anime
Ho-kago tea time,Ichigo Parfait ga tomaranai,K-on,anime
Ho-kago tea time,Listen!!,K-on,anime
Ho-kago tea time,No,thank you!,K-on,anime
Ho-kago tea time,Pure pure heart,K-on,anime
Ho-kago tea time,U&I,K-on,anime
Ho-kago tea time,Unmei wa endless!,K-on,anime
Ho-kago tea time,Utauyo!! MIRACLE,K-on,anime
Hoch Tirol,Konis Hupen,Meme sem bateria,
Hole,Celebrity Skin,,Rock
Hollywood Undead,Young,,Rock pop
Hololive Idol Project,Shiny Smily Story,Vtuber,
Home Made Kazoku,Thank You!!,Bleach,anime
Homecomings,Hertz,,jpop
Homecomings,Lapse,Kimi Wa Houkago Insomnia,jpop
Honest Bob and the Factory-to-Dealer Incentives,I Get By,,Rock
HoneyWorks,Kawaikute Gomen,,jpop
Honoka Kosaka,Snow Halation,Love Live,anime
Hoobastank,The reason,,rock
Hoshimachi Suisei,Kakero,,jpop
Hoshimachi Suisei,Ghost,,jpop
Hoshimachi Suisei,Stellar Stellar,,jpop
Hoshimachi Suisei,Template,,jpop
Hoshino Gen,Koi,sem bateria,
Hound Dog,Rocks,Naruto,anime
Houshou Marine,Ahoy!!Warera Houshou kaizoku-dan,,
Huey Lewis and the news,The power of love,De Volta para o Futuro,soundtrack
Hugs the superball,Rin! Rin! Hi! Hi!,Nambaka sem letra,anime
Huwie Ishizaki,Wasure Gataki,Dr Stone,anime
Hyakkoku Hajime,Hold on your love,K-on,anime
Hypernova,Viva la Resistance,,
Hysteric Blue,Grow up,Gakkou no Kaidan sem bateria,anime
Hyuna,Bubble Pop!,,k-pop
I mother Earth,Levitate,,
I-style Project,Little wish,,vocaloid
Icona Pop ft. Charli XCX,I Love It,,Pop Indie
Ida Maria,Oh my god,,
Idina Menzel,Let it go,Frozen,soundtrack
Ieiri Leo,Shine,,j-song
Iggy Pop,The Passenger,,rock 50s-80s pop
Ikimonogakari,Blue Bird,Naruto,anime
Ikimonogakari,Hotaru no Hikari,Naruto Shippuden,anime
Imaginary Flying and Yoko Hallelujah,Mononoke Hime,Princess Mononoke,anime
Imagine Dragons,I bet my life,,rock pop
Imagine Dragons,Natural,,pop rock
Imagine Dragons,Radioactive,,pop rock
Imagine Dragons,It's time,,pop rock
Imagine Dragons,Demons,,pop rock
Imagine Dragons ft. JID,Enemy,Arcane,soundtrack Rock Pop
ime44,Ime-chan Wants to become a Guitar Hero,,vocaloid
The immortals,Mortal Kombat,,soundtrack
In This Moment,Forever,,
Inabakumori,Lost Umbrella,Kaai Yuki,vocaloid
Inage Kensuke & Arai Yoshihiro,Friday Night,Yakuza 0,soundtrack
Incubus,Dig,,rock
Inner Circle,Bad Boys,Bad Boys,soundtrack
Inori Minase,Ugoku ugoku,Shoujo Shuumatsu Ryokou,anime
Interpol,PDA,,indie rock
Interpol, Obstacle 2,,Indie Rock
Interpol,Flight of Fancy,,Indie Rock
Interpol,C'mere,,Indie Rock
Interpol,Say Hello to the Angels,,Indie Rock
Interpol,Stella Was a Diver and She Was Always Down,,Indie Rock
INXS,Need you tonight,,rock 50s-80s
Iori Nomizu,Ma-ka-se-te Tonight,Kore Wa Zombie Desu Ka?,anime
IOSYS,Cirno's Perfect Math Class,,jpop
IOSYS,Marisa wa taihen na mono wo nusunde ikimashita,,jpop
Ira!,Dias de Luta,,Rock Brasil
Iron Maiden,The Wicker Man,,Metal 50s-80s
Iron Maiden,Aces high,,metal 50s-80s
Iron Maiden,2 Minutes To Midnight,,metal 50s-80s
Iron Maiden,The Tropper,,metal 50s-80s
Iron Maiden,Wasted Years,,metal 50s-80s
Iron Maiden,The Number of the Beast,,metal 50s-80s
Iron Maiden,Run to the Hills,,metal 50s-80s
Iron Maiden,Can I play with madness,,metal 50s-80s
Iron Maiden,The Clairvoyant,,metal 50s-80s
Iron Maiden,Powerslave,,metal 50s-80s
Iron Maiden,Iron Maiden,,metal 50s-80s
Iron Maiden,Children of the Damned,,metal 50s-80s
IRYS,Joy with you,,jpop
Israel "IZ" Kamakawiwo'ole,Somewhere over the rainbow,O Mago de Oz,soundtrack
Ito Kanoko,Hacking the gate,Steins;Gate,anime
The J. Geils band,Centerfold,,50s-80s rock
The Jackson 5,ABC,,pop 50s-80s
The Jackson 5,I want you back,,pop 50s-80s
JAM Project,The Hero!!,One Punch Man,anime
James & Gang,Pepsi Man,,soundtrack
James Blunt,I got you (I feel good),,rock
James Gang,Funk #49,,50s-80s
Jane's Addiction,Been caught stealing,,rock 50s-80s
Jane's Addiction,Jane Says,,rock 50s-80s
Jane's Addiction,Mountain song,,rock 50s-80s
Janne Da Arc,In silence,,jrock jpop
Jaret Reddick,Endless Possibility,Sonic,soundtrack
Jason Derulo,Want to want me,,pop
Jason Paige,Pokemon theme,Pokémon,anime
Jay-z & Linkin Park,Points of authority / 99 Problems / One step closer,,metal
Jaxomy Agatino Romero Raffaella Carrà,Pedro Pedro,Pedro Pedro Pedro Pedro Pedro Pe,
Jeff Pescetto,Ducktales theme,,soundtrack
Jet,Are you gonna be my girl,,rock
Jethro Tull,Aqualung,,rock 50s-80s
Jethro Tull,Hymn 43,,rock 50s-80s
Jin ft. MARiA,daze,MEKAKUCITY ACTORS,anime
The Jimi Hendrix Experience,Crosstown Traffic,,rock 50s-80s
The Jimi Hendrix Experience,Fire,,rock 50s-80s
The Jimi Hendrix Experience,Foxey lady,,rock 50s-80s
The Jimi Hendrix Experience,Hey Joe,,rock 50s-80s
Jimmy Cliff and Lebo M,Hakura Matata (Inglês),The Lion King,soundtrack
Jimmy eat world,The Middle,,rock
Jimmy Sum P,From Y to Y,Hatsune Miku,vocaloid
Jin Hashimoto,Stand Proud,Jojo's bizarre adventure,anime
Jo Stars (TOMMY Coda Jin),Jojo sono chi no kioku,Jojo's bizarre adventure,anime
Joan Jett,Bad Reputation,,rock 50s-80s
Joan Jett & The blackhearts,I love Rock n' Roll,,rock 50s-80s
João Mineiro e Marciano,Ainda Ontem Chorei De Saudade,sem bateria,brasil
John,Meteor,Hatsune Miku,vocaloid
John Cena & tha trademarc,The time is now,WWE rrrrrrrrrabodooo,soundtrack
John Lennon,Imagine,,50s-80s rock
John Travolta/Olivia Newton-John,You're The One That I Want,Filme Grease,soundtrack Pop 50s-80s
John Travolta/Olivia Newton-John,Summer Nights,Filme Grease,soundtrack Pop 50s-80s
John Williams,20th century fox fanfare / main title,Star Wars,soundtrack
John Williams,The imperial march,Stars Wars,soundtrack
Johnny cash,ring of fire,,rock 50s-80s
Jonas Brothers,Sucker,,rock
Jota Quest,O Sol,EPra onde tenha Sol É pra lá que eu vou sem bateria,brasil rock
Journey,Don't Stop believing,,rock 50s-80s
João Brasil,Michael Douglas,Nunca mais eu vou dormir. Ih? Que isso? Michael Douglas!,
Juanes,Me Enamora,,pop
Judas Priest,Breaking the law,,rock metal 50s-80s
Judas Priest,Living after midnight,,rock metal 50s-80s
Judas Priest,Painkiller,,rock metal 50s-80s
Judas Priest,Screaming for Vengeance,,rock metal 50s-80s
Jun Senoue,Azure Blue world...for Emerald Coast,Sonic,soundtrack
Junko Ohashi,Koi ni Oborete (crazy about you),,jpop
Junko Ohashi,Telephone number,Auuuuuu,j-song
Junko Yagami,No!,,jpop
Junko Yagami,Tasogare no bay city,,jpop
Junky,Melancholic,Kagamine Rin,vocaloid
Justin Bieber,Baby,Atenção: guitarra e baixo tem poucas notas,Pop
Justin Moore,Backwoods,,
Justin Timberlake,Filthy,,pop
Justin Timberlake,Rock your body,,pop
Justin Timberlake,Suit and Tie,,pop
(K)now_name,Welcome to chaos,Dorohedoro,anime
K/DA ft. Madison Beer GIDLE Jaira Burns,PopStars,soundtrack League of Legends,Kpop
Kairiki Bear,Mane mane psychotropic,Gumi,vocaloid
Kaiser Chiefs,Ruby,rubirubirubirubee oh,indie rock
Kalafina,Magia,Madoka Magica,anime
Kalafina,To the beginning,Fate,anime
Kana Hanazawa,Dramatic ja Nakute mo,Kubo-san wa mob wo yurusanai,anime
Kana Hanazawa,Renai Circulation,Bakemonogatari,anime
Kana-Boon,Gradation,Yamada-kun to LV999 no Koi wo Suru,anime
Kana-Boon,Silhouette,Naruto Shippuden,anime
Kana-Boon,Song of the Dead,Zom100,anime
Kaneko Ayano,Romance Sengen,,jpop
Kanemoto Hisako,Gamers!,Gamers!,anime
Kankaku Piero,Haruka Mirai,Black Clover,anime
Kankaku Piero,Rakugaki Paige,Black Clover,anime
Kanna Nakamura,50cm,Soredemo Ayumu wa Yosetekuru,anime
Kano,Stella-rium,Houkago no Pleiades,anime
KanoeRana,Queen of the Night,Tearmoon Empire,anime
Kanou Mari,Swan Lake ~ still a duckling~,Taiko no Tatsujin,soundtrack
Kansas,Carry on wayward son,,rock 50s-80s
Kanye West,Stronger,,pop
Kaori Ishihara,Paraglider,Yumemiru Danshi wa Genjitsushugisha,anime
Kaori Sakagami,Platonic Tsuranuite,Ranma 1/2,anime
Karasuyasabou,Hotel Moonside - take me away from Metropolis,Idolm@ster Cinderella Girls,anime
Kasabian,Empire,,Indie rock Indie
Kasabian,Goodbye Kiss,,Indie Rock
Kasabian,Days Are Forgotten,Need For Speed Carbon,Indie Rock soundtrack
Kashii Moimi,Kyatto Rabingu,Kafu,vocaloid
Kasino,Can't get over,VAAI KASINAAAAAAAAAAAAAAAAAAAAAO,pop brasil
Katrina and the waves,Walking on sunshine,,rock 50s-80s
Katy Perry,Hot n cold,,pop
Katy Perry,I kissed a girl,,pop
Katy Perry,Roar,,pop
Katy Perry,Teenage Dream,,pop
Katy Perry,Last Friday Night,,pop
Katy Perry,California Gurls,,pop
Katy Perry,Firework,Madagascar,soundtrack
Kawada Mami,Borderland,Jormungand,anime
Kawada Mami,JOINT,Shakugan no Shana,anime
Kawada Mami,Serment,Shakugan no Shana,anime
Kazuya Yoshii,Chozetsu Dynamic!,Dragon Ball Super,anime
KC and the Sunshine Band,(Shake shake shake) Shake your booty,,
Ke$ha,Tik Tok,,pop
Keeno,Longing,Hatsune Miku,vocaloid
Keisuke Ito,Quiet Night,Pokemon somente teclado,soundtrack
Keith Urban,Kiss a girl,,
Kelly Clarkson,Stronger (what doesn't kill you),,
Kenny Loggins,Footloose,,50s-80s
Kenshi Yonezu,Kick Back,Chainsaw Man,anime jrock
Kessoku Band,Into the Light,Bocchi The Rock,anime
Kessoku Band,Seishun Complex,Bocchi The Rock,anime
Kessoku Band,Karakara,Bocchi The Rock,anime
Kessoku Band,Hitoribocchi Tokyo,Bocchi The Rock,anime
Kessoku Band,Flashbacker,Bocchi The Rock,anime
Kessoku Band,Wasurete Yaranai,Bocchi The Rock,anime
Kikuo,Aishite aishite aishite,Hatsune Miku,vocaloid
The Killers,Mr. Brightside,,indie rock
The Killers,Somebody told me,,indie rock
The Killers,When you were young,,indie rock
King Gnu,SPECIALZ,Jujutsu Kaisen,anime
King of Leon,Molly's Chambers,,indie rock
Kiria X Tsubasa Oribe,Give Me!!,Tokyo Mirage,anime
Kiryu,The Last Illusion,Deemo,soundtrack
Kiryu Coco,Weather Hackers,Kiryu Coco,vtuber
Kiryu Kazuma,Baka Mitai,Dame Da ne Dame yo Dame na no yo Yakuza,soundtrack
Kishida Kyodan & the Akeboshi Rockets,Strike The Blood,Strike The Blood,anime
Kishida Kyodan & the Akeboshi Rockets,Highschool of the Dead,Highschool of the Dead,anime
Kishida Kyodan & the Akeboshi Rockets,Sore wa Akatsuki no you ni,Gate,anime
KISS,Detroit Rock City,,rock 50s-80s
KISS,Rock and Roll all nite,,rock 50s-80s
Kissing the Mirror,Fatal Scythe´s Awakening,,jrock metal
Kitamura Eri & Nonaka Ai,and I'm home,Madoka Magica,anime
The Knack,My Sharona,,pop 50s-80s
Knocked Loose ft. Poppy,Suffocate,,Metal
obayashi Yuu,Hanaji,Hanaji,anime
Kohana Lam,Suu Sentimental,Boku no Kokoro no Yabai Yatsu,anime
Koharu Kusumi,Balalaika,,jpop
Koji Wada,The Biggest Dreamer,Digimon,anime
The Konks,29 fingers,,rock
Konomi Suzuki,Choir Jail,Tasogare Otome x Amnesia,anime
Konomi Suzuki,Redo,RE:zero,anime
Konomi Suzuki,This Game,No Game No Life,anime
Konomi Suzuki,Watashi ga motenai no wa dou kangaetemo omaera ga waru,Watamote,anime
The Kooks,Naïve,,indie rock
Kool & the gang,Jungle Boogie,,50s-80s
Korn,Freak on a Leash,,Metal
Korn,Word up!,,Metal
Kotori Minami,Snow Halation,Love Live,anime
Kousaki Satoru,Motteke! Sailor Fuku,Lucky ☆ Star,anime
Kristen Bell / Santino Fontana,Love is an open door,Frozen,soundtrack
KT Tunstall,Suddenly I See,,
Kumi Koda X Shonan no Kaze,Trust Last,Kamen Rider Geats,soundtrack
Kurousa-P,Senbonzakura,Hatsune Miku,vocaloid
Kutless,The feeling,,rock
Kyary Pamyu Pamyu,Mottai Night Land,,jrock jpop
Kyary Pamyu Pamyu,Ninja Re Bang Bang,,jrock jpop
Kyary Pamyu Pamyu,Tsukematsukeru,,jrock jpop
Kyary Pamyu Pamyu,Candy Candy,,jrock jpop
Kyary Pamyu Pamyu,Ponponpon,,jrock jpop
L'Arc~En~Ciel,Ready Steady Go,Fullmetal Alchemist,anime
L'Arc~En~Ciel,Daybreak´s Bell,Gundam Double,anime
L'Arc~En~Ciel,Stay Away,,j-song
L7,Pretend we're dead,,rock 50s-80s
Lacuna Coil,Closer,,metal
Lacuna Coil,Our truth,,metal
Lady Antebellum,Need you now,,
Lady Antebellum,Perfect Day,,
Lady Gaga,Bad Romance,,pop
Lady Gaga,The Dead Dance,,Pop
Lady Gaga,Bloody Mary,associada à Wandinha,Pop soundtrack
Lady Gaga,Judas,,Pop
Lady Gaga,Born this way,,pop
Lady Gaga,The edge of glory,,pop
Lady Gaga,Just Dance,,pop
Lady Gaga,Poker Face,,pop
Lady Gaga,Alejandro,,pop
Lady Gaga,Telephone,,pop
Ladybaby,Nippon Manju,,jrock metal jpop
Lagwagon,May 16,,rock
Lamazep,Popipo,Hatsune Miku,vocaloid
Lamb of god,Laid to rest,,metal
Lana Del Rey,Mariners Apartment Complex,,Pop indie
Lana Del Rey,West Coast,,Pop indie
Lana Del Rey,Doin Time,,Pop indie
Larval Stage Panning,Sympathy,Highschool DxD,anime
Larval Stage Panning,Trip - innocent of D-,Highschool DxD,anime
Las Ketchup,The Ketchup Song (asereje),,
Last Alliance,Shissou,Ouran High School Host Club sem bateria,anime
Last Note,Osanana Blue,Gumi,vocaloid
Laura Bell Bundy,Giddy on up,,
Lea Salong and Brad Kane,A Whole New World,Aladdin,soundtrack
Led Zeppelin,Rock and Roll,,rock 50s-80s
Led Zeppelin,Whole Lotta love,,rock 50s-80s
Legião Urbana,A canção do senhor da guerra,O senhor da guerra não gosta de crianças sem bateria,brasil rock
Legião Urbana,Será,Será só imaginação sem bateria,brasil rock
Legião Urbana,Pais e filhos,É preciso amar As pessoas sem bateria,brasil rock
Legião Urbana,Que país é este,Nas favelas no Senado,brasil rock
The Len Price 3,If I ain't got you,,rock
Lenny Kravitz,Again,,50s-80s
Lenny Kravitz,Fly Away,,50s-80s
Lenny Kravitz,Lets love rule,,50s-80s
Lesley Roy,I'm gone I'm going,,rock
Lia,Justitia,Wizard Barristers Benmashi Cecil,anime
Lia,My soul your beats!,Angel Beats,anime
Light Bringer,Noah,,jrock metal
Lights resolve,Dreaming of love,,rock
Lil Deuce Deuce,I like trains,,
Lily White,Binetsu Kara Mystery,Love Live,anime
Limp Bizkit,Gold Cobra,,Metal
Limp Bizkit,Nookie,,Metal
Limp Bizkit,Re-Arranged,,Metal
Limp Bizkit,My Generation,,Metal
Limp Bizkit,My way,,Metal
Limp Bizkit,Hot Dog,,Metal
Limp Bizkit,Break Stuff,,Metal
Limp Bizkit,Rollin' (air raid vehicle),,Metal
Lindsey Stirling,Roundtable Rival,,
Ling Tosite Sigure,Yuukei no Kioku,,jrock
Linked Horizon,Shinzou wo sasageyo,Shingeki no Kyojin Attack on titan,anime
Linked Horizon,Guren no yumiya,Shingeki no Kyojin Attack On Titan,anime
Linked Horizon,Jiyuu no Tsubasa,Shingeki no Kyojin Attack On Titan,anime
Linked Horizon,The Rumbling,Shingeki no Kyojin Attack On Titan,anime
Linkin Park,A light that never comes ft. Steve Aoki,,
Linkin Park,In The End,It starts with one...,Rock Metal
Linkin Park,Given Up,miseraaaaaaaaaaaaaaa,Metal Rock
Linkin Park,Numb,Rock Lee vs Gaara soundtrack 100% oficial,Rock Metal soundtrack
Linkin Park,The Emptiness Machine,,Rock Metal
Linkin Park,One Step Closer,,Metal Rock
Linkin Park,Bleed It Out,,Rock Metal
Linkin Park,Castle of Glass,,Rock Metal
Linkin Park,Lost,,Rock Metal
Linkin Park,My December,,Rock Metal
Linkin Park,New Divide,Transformers,soundtrack Rock Metal
Linkin Park,Points of Authority (live),,Rock Metal
Linkin Park,Qwerty,,Rock Metal
Linkin Park,Waiting for the End,,Rock Metal
Linkin Park,Papercut,sem letra,Rock Metal
Linkin Park,One step closer,,Rock Metal
Linkin Park,With you,,Rock Metal
Linkin Park,Crawling,,Rock Metal
Linkin Park,Runaway,,Rock Metal
Linkin Park,By myself,,Rock Metal
Linkin Park,A place for my head,,Rock Metal
Linkin Park,Forgotten,,Rock Metal
Linkin Park,Cure for the itch,,Rock Metal
Linkin Park,Pushing me away,,Rock Metal
Linkin Park,Don't stay,,Rock Metal
Linkin Park,Somewhere I belong,,Rock Metal
Linkin Park,Hit the floor,,Rock Metal
Linkin Park,Faint,,Rock Metal
Linkin Park,Figure.09,,Rock Metal
Linkin Park,Breaking the habit,,Rock Metal
Linkin Park,From the inside,,Rock Metal
Linkin Park,Nobody's listening,,Rock Metal
Linkin Park,Session,,Rock Metal
Linkin Park,What I've done,,Rock Metal
Lionel Richie,Say you say me,,50s-80s
Lipps,Tulip,Idolm@ster Cinderella Girls,anime
LiSA,Adamas,Sword Art Online,anime
LiSA,Crossing Field,Sword Art Online,anime
LiSA,Gurenge,Kimetsu no Yaiba,anime
LiSA,Homura,Kimetsu no Yaiba,anime
LiSA,Oath Sign,Fate,anime
LiSA,Orange Cider,Nisekoi,anime
LiSA,Rising Hope,Mahouka Koukou no Rettousei,anime
Lit,My own worst enemy,,rock metal
Little by little,Kanashimi wo yasashisa,Naruto,anime
Little fish,Am I crazy,,rock
Little Richard,Tutti Frutti,,50s-80s rock
Littlekuriboh,Pharaoh's Throne,,
Living colour,Cult of Personality,,rock 50s-80s
LMFAO,Sexy and I know it,,
LMFAO,Party Rock Anthem,,
Longman,Spiral,Mushoku Tensei,anime
Los del Río,Macareno,,
Los Hermanos,Anna Julia,,Brasil Rock
Los Lobos,La Bamba,,
Lostprophets,Rooftops,,rock
Lotus Juice,Backside of the TV,Persona,anime
Lou & Lenni-Kim,Ce mur qui nous sépare,Miraculous Ladybug,soundtrack
Lou Bega,Mambo No.5,,
Luis Fonsi,Despacito,,pop
Luke Bryan,Rain is a Good thing,,
Luna Sea,True Blue,,jrock
Lush,De-Luxe,,
Lyn,The Whims of Fate,Persona,soundtrack
Lynch,Devil,,jrock
μ's,Leveless World,Love Live,anime
μ's,Snow Halation,Love Live,anime
M.O.V.E,Gamble Rumble,,jpop
M.O.V.E,Rage your Dream,,jpop
Mac DeMarco,My Kind of Woman,,Indie Rock
Mac DeMarco,Freaking Out the Neighborhood,,Indie Rock
Mac DeMarco,The Way You'd Love Her,,Indie Rock
Mac DeMarco,Let Her Go,,Indie Rock
Mac DeMarco,Go Easy,,Pop Indie Rock
Macaroni Empitsu,Hoshi ga oyogu,Summer Time Rendering,anime
Macaroni Empitsu,mother,Dai no daibouken,anime
Machico,Stay free,Konosuba,anime
Machico,Tomorrow,Konosuba,anime
Machigerita,Halloween Patisserie tricka torka,Hatsune Miku,vocaloid
Machigerita,Hocus Pocus Cooking,Hatsune Miku,vocaloid
Machigerita,Pumpkin Head Spooky Dance,Hatsune Miku,vocaloid
Machigerita,Rotten girl grotesque romance,Hatsune Miku,vocaloid
Machigerita,Sunset Love Suicide,Gumi,vocaloid
Macklemore,Thrift Shop,,indie pop
Madonna,La Isla Bonita,,50s-80s pop
Madonna,Like a Virgin,,50s-80s pop
Madonna,Ray of light,,50s-80s pop
Madonna,Vogue,,50s-80s pop
Maeshima Mayu,No Man's Dawn,sem bateria,jrock jpop
Mago de Oz,Fiesta Pagana,,Rock Folk Metal
Mago de Oz,Molinos de Viento,,Rock Folk Metal
Maharajan,Kurae!Telepathy,Tomo-Chan wa onnanoko,anime
Mai Yamane,The real folk Blues,Cowboy Bepop,anime
Make-up,Pegasus Fantasy (versão Jap e Br),Saint Seiya Cavaleiros do Zodíaco,anime
Maki Nishikino,Snow Halation,Love Live,anime
Malice Mizer,Beast of blood,,jrock
Malice Mizer,Gekka no yasoukyoku,,jrock
Mamomas Assasinas,1406,Money que é good nóis num have sem bateria,brasil rock
Mamomas Assasinas,Chopis Centis,Quantcha gente. Ei quantcha alegria sem bateria,brasil rock
Mamomas Assasinas,Debil Metal,Walking in the dark now I jam some cookies sem bateria,brasil rock metal
Mamomas Assasinas,La vem o alemão sem bateria,brasil rock
Mamomas Assasinas,Robocop Gay,Um tanto quanto másculo ai com M maiúsculo sem bateria,brasil rock
Mamomas Assasinas,Sabão Cracrá,sem bateria,brasil rock
Mamomas Assasinas,Mundo animal,Comer tatu é bom. Que pena que dá dor nas costas,brasil rock
Mamonas Assassinas,Vira Vira,sem bateria,brasil rock
Mamomas Assasinas,Jumento Celestino,De quem é esse jegue?,brasil rock
Mamomas Assasinas,Pelados em Santos,Mina seus cabelo é da hora,brasil rock
Mamoru Miyano,Prisoner,Skip Beat! sem bateria,jpop jrock soundtrack
